Ranking,เขต,คะแนน,รวมทั้งหมด,พื้นที่สาธารณะและพื้นที่ส่วนบุคคล,พื้นที่สาธารณะ,พื้นที่ส่วนบุคคล,สถานที่ราชการ,วัด,รัฐวิสาหกิจ,elsewhere,สะพานลอย,ป้ายรถเมล์,สวนสาธารณะ,shelter,พื้นที่รกร้าง,อาคารการค้า,สถานบันเทิง,สะพาน,ถนน,สะพานและรถ,ทางเท้า,ซอย,หมู่บ้าน,สถานที่ท่องเที่ยว,สถาบันการศึกษา,รัฐบาล,ทางแยก,ท่าเรือ,ทางเดินริมน้ำ,ทางเท้าและซอย,สวนใต้สะพาน,สถานีรถไฟฟ้า,อุโมงค์ลอดใต้ถนน,ศูนย์กีฬา,สถานีขนส่ง,สถานที่ทางศาสนา,อื่นๆ,พื้นที่เปลี่ยวกลางคืน,พื้นที่เปลี่ยวกลางวัน,จุดบอด,พื้นที่ว่าง,พื้นที่สกปรก,อาคารเก่า,เสาไฟเสียหาย,กีดขวางการจราจร,คนไร้บ้าน,พื้นที่มั่วสุม,การทำร้ายร่างกาย,กรรโชกทรัพย์,อุบัติเหตุทางถนน,อุบัติเหตุบนทางเท้า,อุบัติเหตุจากไฟฟ้า,อุบัติเหตุจากป้าย,อุบัติเหตุจากต้นไม้,อุบัติเหตุอื่น ๆ,ก่อกวน/ยกพวกตีกัน/แข่งรถ,ประชาชนจำนวนมาก/พลุกพล่าน,ภัยอันตรายจากสัตว์มีพิษ,สถานที่สำคัญ,ความเสี่ยงอื่นๆ,แหล่งเฝ้าระวัง,พื้นที่ทำความสะอาด,พื้นที่ตัดต้นไม้,พื้นที่ปรับภูมิทัศน์,demolish
17,ตลิ่งชัน,34,45,8,7,1,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
18,สวนหลวง,32,46,8,7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0
18,สะพานสูง,32,46,11,11,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,พระโขนง,31,48,12,0,12,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,ดินแดง,30,49,9,9,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,บึงกุ่ม,29,50,8,8,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,0,5,0,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,บางพลัด,28,52,8,7,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,3,1,0,0
24,บางบอน,25,54,11,6,4,1,0,0,0,1,1,2,1,2,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,0,1,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,2,0
24,ลาดพร้าว,25,54,6,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,6,0,0
24,สายไหม,25,54,12,10,2,0,0,0,0,2,2,0,1,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0
27,ยานนาวา,24,56,9,6,2,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,9,3,0,1,0,0,4,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0
28,คันนายาว,23,59,8,8,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0
29,ธนบุรี,22,65,7,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,1,2,1,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,2
30,พญาไท,21,70,12,12,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,0,0,2,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
31,บางกะปิ,20,72,16,7,8,1,0,0,0,0,0,2,0,0,8,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,1,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
32,ปทุมวัน,19,77,13,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,8,0,0,0,0,0,0,0,9,0,7,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,1,3,0,0
33,บางนา,18,80,10,10,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0
34,วัฒนา,17,84,22,20,2,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,2,4,0,0,1,1,2,3,3,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1
35,พระนคร,16,85,24,24,0,0,0,0,0,1,0,0,0,0,0,0,0,5,2,4,1,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
36,ห้วยขวาง,15,89,15,10,3,2,0,0,0,2,1,1,0,1,0,1,0,2,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,13,1,1,1,0,0,0,0,2,2,0,5,1,0,0,0,0,1,1,0,0,0,0,15,0,0,1,0
37,บางแค,14,90,19,16,3,0,0,0,0,1,4,3,0,0,1,0,0,3,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
