ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
19,ถนน,ถนนจตุโชติ,ถนนสุขาภิบาล 5 (รัตนโกสินทร์),ถนนจตุโชติ (ช่วง 2),8.00-20.00,2.75,2005-10-07,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
19,ถนน,ถนนจตุโชติ,ถนนคู่ขนานวงแหวนรอบนอกด้านตะวันออก,คลองพระยาสุเรนทร์ (สุดพื้นที่เขต),20.00,2.7,2005-10-07,สายไหม,สำนักการโยธา,กรุงเทพมหานคร
20,ถนน,ถนนจรัญสนิทวงศ์,ถนนเพชรเกษม,จรัญสนิทวงศ์ 21 (สะพานคลองมอญ),28.00,1.77,1984-10-05,บางกอกใหญ่,สำนักการโยธา,กรุงเทพมหานคร
20,ถนน,ถนนจรัญสนิทวงศ์,ถนนเพชรเกษม (คลองมอญ),จรัญสนิทวงศ์ 59 (ถ.สมเด็จพระปิ่นเกล้า),28.00-30.50,6.664,1984-10-05,บางกอกน้อย,สำนักการโยธา,กรุงเทพมหานคร
20,ถนน,ถนนจรัญสนิทวงศ์,ถนนบรมราชชนนี,คลองละมุด (สุดพื้นที่เขต),30.90-38.00,5.4,2010-06-14,บางพลัด,สำนักการโยธา,กรุงเทพมหานคร
21,ถนน,ถนนจรัสเมือง,ถนนรองเมือง,ถนนพระรามที่ 6,20.70-25.80,0.235,2010-09-09,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
22,ถนน,ถนนจอมทอง,ถนนสุขสวัสดิ์,สะพานบางขุนเทียน,16.30-18.50,2.05,2010-03-31,จอมทอง,สำนักการโยธา,กรุงเทพมหานคร
23,ถนน,ถนนจักรพงษ์,ถนนสามเสน,ถนนราชดำเนินกลาง,20.00,0.675,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
24,ถนน,ถนนจักรพรรดิพงษ์,ถนนบำรุงเมือง,ถนนราชดำเนินนอก,22.50,0.937,1984-06-28,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
25,ถนน,ถนนจักรวรรดิ์,ถนนเจริญกรุง,ถนนมหาจักร,20.80-21.90,0.687,2011-06-10,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
26,ถนน,ถนนจันทน์,ถนนนางลิ้นจี่,ซอยกิ่งจันทร์ (สุดเขตสาทร),20.00,3.532,1999-08-05,สาทร,สำนักการโยธา,กรุงเทพมหานคร
26,ถนน,ถนนจันทน์,ถนนเจริญกรุง,สุดเขตพื้นที่ เขตบางคอแหลม,20.00,0.55,2002-03-07,บางคอแหลม,สำนักการโยธา,กรุงเทพมหานคร
26,ถนน,ถนนจันทน์,ถนนนราธิวาสราชนครินทร์,ถนนสาธุประดิษฐ์,18.00-20.00,0.85,2004-07-12,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
27,ถนน,ถนนจันทน์เก่า,ถนนนางลิ้นจี่,ถนนนราธิวาสราชนครินทร์,6.70-12.00,0.54,2004-07-12,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
28,ถนน,ถนนจันทิมา,ซอยลาดพร้าว 80,สุดซอย,8.00-10.00,2.8,2000-06-16,วังทองหลาง,สำนักการโยธา,กรุงเทพมหานคร
28,ถนน,ถนนจันทิมา,ถนนประชาราษฎร์บำเพ็ญ,คลองลาดพร้าว,11.00,0.752,2000-12-07,ห้วยขวาง,สำนักการโยธา,กรุงเทพมหานคร
29,ถนน,ถนนจารุเมือง,ถนนเจริญเมือง,ถนนพระรามที่ 4,25.60,0.4,2010-09-09,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนสนามไชย,ถนนอัษฎางค์,19.50,0.1653,1998-12-02,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
30,ถนน,ถนนเจริญกรุง,ถนนอัษฎางค์,ถนนเฟื่องนคร,20.80,0.1202,1998-12-02,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
