ROAD_NO,ROAD_TYPE,ROAD_NAME,SECTION_START,SECTION_END,WIDTH,LENGTH,ANNOUNCE_DATE,DISTRICT,DEPARTMENT,ROAD_OWNER
78,ถนน,ถนนนเรศ,ถนนสี่พระยา,ถนนสุรวงศ์,14.70-15.70,0.425,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
78,ถนน,ถนนนเรศ,ถนนสี่พระยา,ถนนสุรวงศ์,15.20,0.42,1985-06-25,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
79,ถนน,ถนนนวมินทร์,ถนนเสรีไทย,คลองลำพังพวย,30.00-32.00,2.21,2017-11-22,บางกะปิ,สำนักการโยธา,กรุงเทพมหานคร
79,ถนน,ถนนนวมินทร์,คลองหลวงวิจิตร,ถนนรามอินทรา,30.00-31.00,0.6,2017-12-29,คันนายาว,สำนักการโยธา,กรุงเทพมหานคร
80,ถนน,ถนนนวลจันทร์,ถนนเกษตร-นวมินทร์,ถนนประดิษฐ์มนูธรรม,20.00,3.47,2005-05-20,บึงกุ่ม,สำนักการโยธา,กรุงเทพมหานคร
81,ถนน,ถนนนาคนิวาส,ซอยสังคมสงเคราะห์,ซอยสตรีวิทยา 2 (สี่แยกโรงไม้),20.00,3.045,2004-01-13,ลาดพร้าว,สำนักการโยธา,กรุงเทพมหานคร
82,ถนน,ถนนนางลิ้นจี่,ถนนเย็นอากาศ,นราธิวาสราชนครินทร์ 17 (ซอยอาคารสงเคราะห์),19.10-24.00,0.67,2010-05-04,สาทร,สำนักการโยธา,กรุงเทพมหานคร
82,ถนน,ถนนนางลิ้นจี่,ซอยอมร,สถานีสูบน้ำนางลิ้นจี่,18.90-23.00,0.995,2010-08-19,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
83,ถนน,ถนนนาวงประชาพัฒนา,ถนนสรงประภาเดิม,คลองบ้านใหม่ (สุดเขตพื้นที่ กทม.),12.00-22.00,2.37,2005-08-19,ดอนเมือง,สำนักการโยธา,กรุงเทพมหานคร
84,ถนน,ถนนนิคมมักกะสัน,ถนนเพชรบุรี,ถนนราชปรารภ,17.40-20.40,1.565,1993-12-24,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
85,ถนน,ถนนนิมิตใหม่,ถนนสุวินทวงศ์,สุดเขตกรุงเทพฯ,30.00,14.2,1986-10-08,"มีนบุรี,คลองสามวา",สำนักการโยธา,กรุงเทพมหานคร
86,ถนน,ถนนบรรทัดทอง,ถนนพระรามที่ 4,คลองมหานาค,20.00,1.575,1999-06-23,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
86,ถนน,ถนนบรรทัดทอง,คลองมหานาค,ถนนเพชรบุรี,22.00,0.58,1999-06-23,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
87,ถนน,ถนนบริพัตร,ถนนดำรงค์รักษ์,ถนนบำรุงเมือง,15.50,0.4,1983-12-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
87,ถนน,ถนนบริพัตร,ถนนบำรุงเมือง,ถนนหลวง,14.50,0.4,1983-12-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
87,ถนน,ถนนบริพัตร,ถนนหลวง,ถนนเยาวราช,14.50,0.465,1983-12-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
87,ถนน,ถนนบริพัตร,ถนนเยาวราช,ถนนเจริญกรุง,13.90-14.50,0.23,2011-05-19,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
88,ถนน,ถนนบวรนิเวศน์,ถนนพระสุเมรุ,ถนนตะนาว,24.00,0.14,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
89,ถนน,ถนนบางกระดี่,ถนนพระรามที่ 2,คลองสนามไชย,7.00-30.00,3.54,2005-01-26,บางขุนเทียน,สำนักการโยธา,กรุงเทพมหานคร
90,ถนน,ถนนบางขุนเทียน,ถนนเอกชัย,ถนนพระรามที่ 2 (ถนนธนบุรี-ปากท่อ),40.00,1.945,1985-07-04,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
91,ถนน,ถนนบางขุนเทียนชายทะเล,ถนนพระรามที่ 2 (ถนนธนบุรี-ปากท่อ),ชายทะเล (คลองเชิงตาแพ),40.00,16.178,1985-07-04,บางขุนเทียน,สำนักการโยธา,กรุงเทพมหานคร
92,ถนน,ถนนบางขุนนนท์,ถนนจรัญสนิทวงศ์,สุดเขตทาง (คลองชักพระ),20.00,1.9,2005-04-12,บางกอกน้อย,สำนักการโยธา,กรุงเทพมหานคร
93,ถนน,ถนนบางแค-บางบอน (ถนนสุขาภิบาล 1),ถนนเพชรเกษม,คลองบางโคลัด,10.00-16.00,3.2,2003-08-15,บางแค,สำนักการโยธา,กรุงเทพมหานคร
94,ถนน,ถนนบางเชือกหนัง,ถนนพุทธมณฑลสาย 1,ถนนกาญจนาภิเษก,13.60-16.00,2.5,2005-03-04,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
95,ถนน,ถนนบางบอน 1 (ถนนบางบอน-บางแค),ถนนเอกชัย,คลองบางโคลัด,16.00,1.1,1985-05-10,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
96,ถนน,ถนนบางบอน 2 (ซอยกาญจนาภิเษก 3),ถนนเอกชัย,คลองบางโคลัด,14.00,1.78,1985-05-10,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
96,ถนน,ถนนบางบอน 2 (ซอยกาญจนาภิเษก 3),คลองบางโคลัด,คลองหนองใหญ่,8.00,0.7,1986-03-04,บางแค,สำนักการโยธา,กรุงเทพมหานคร
96,ถนน,ถนนบางบอน 2 (ซอยกาญจนาภิเษก 3),คลองหนองใหญ่,คลองภาษีเจริญ,9.50-16.00,2.31,2004-07-12,บางแค,สำนักการโยธา,กรุงเทพมหานคร
97,ถนน,ถนนบางบอน 2-3 (ซอยร่มไทร),ถนนบางบอน 3,บางบอน 2,8.50-12.00,1.88,2004-07-12,บางแค,สำนักการโยธา,กรุงเทพมหานคร
98,ถนน,ถนนบางบอน 3,ถนนเอกชัย,คลองบางโคลัด,20.00,2.29,1985-05-10,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
98,ถนน,ถนนบางบอน 3,คลองภาษีเจริญ,คลองหนามแดง,12.40-16.00,2.25,2003-01-13,หนองแขม,สำนักการโยธา,กรุงเทพมหานคร
99,ถนน,ถนนบางบอน 4,ถนนเอกชัย,คลองหนามแดง,16.00,4,1985-07-04,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
100,ถนน,ถนนบางบอน 5,ถนนเอกชัย,คลองหนามแดง,16.00,3.1,1985-07-04,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
100,ถนน,ถนนบางบอน 5,คลองหนามแดง,ถนนเลียบคลองภาษีเจริญฝั่งใต้,14.50-16.00,2,2003-01-13,หนองแขม,สำนักการโยธา,กรุงเทพมหานคร
101,ถนน,ถนนบางพรม (ถนนวัดแก้ว-พุทธมณฑลสาย 1),ถนนวัดแก้ว,ถนนพุทธมณฑลสาย 1,14.00,0.295,1985-10-31,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
101,ถนน,ถนนบางพรม (ถนนวัดแก้ว-พุทธมณฑลสาย 1),ถนนพุทธมณฑลสาย 1,ถนนราชพฤกษ์,14.00-17.10,2.0206,2019-12-11,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
102,ถนน,ถนนบางระมาด,ถนนพุทธมณฑลสาย 1,ถนนกาญจนาภิเษก,12.70-16.00,2.54,2005-03-04,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
103,ถนน,ถนนบางแวก,คลองบางกอกใหญ่,สุดพื้นที่เขต (คลองลัดตากลั่น),15.00,5.5,2011-01-19,ภาษีเจริญ,สำนักการโยธา,กรุงเทพมหานคร
103,ถนน,ถนนบางแวก,คลองพระยาราชมนตรี,บ้านเลขที่ 4/1 ม.6,16.00-20.00,7.85,1986-09-29,บางแค,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ถนนกรุงเกษม,ถนนจักรพรรดิ์พงษ์,18.50,0.912,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ถนนจักรพรรดิ์พงษ์,ถนนมหาชัย,17.50,0.47,1984-06-28,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ถนนมหาไชย,โรงเรียนเทเวศร์วิทยาลัย,11.50,0.15,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,โรงเรียนเทเวศร์วิทยาลัย,ตรอกไข่,12.00,0.05,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ตรอกไข่,ถนนศิริพงษ์,11.50,0.085,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ถนนศิริพงษ์,ถนนบ้านดินสอ,55.50,0.145,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ถนนบ้านดินสอ,ตรอกนาวา,8.50,0.082,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ตรอกนาวา,โรงแรมรื่นรมย์,10.00,0.126,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,โรงแรมรื่นรมย์,ถนนตะนาว,10.00,0.1,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
104,ถนน,ถนนบำรุงเมือง,ถนนตะนาว,ถนนอัษฎางค์,17.50,0.225,1984-06-28,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
105,ถนน,ถนนบุรีภิรมย์,หน้าวัดหนองจอก,ถนนเชื่อมสัมพันธ์,8.50,0.116,1984-10-05,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
105,ถนน,ถนนบุรีภิรมย์,ถนนเชื่อมสัมพันธ์,สะพานข้ามคลองแสนแสบ,11.00,0.162,1984-10-05,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
106,ถนน,ถนนบูรพา,ถนนพาหุรัด,ถนนเจริญกรุง,20.00,0.235,1983-12-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
107,ถนน,ถนนแบริ่ง-ลาซาล,ถนนลาซาล,สุดเขตบางนา,24.60,0.817,2024-05-24,บางนา,สำนักการโยธา,กรุงเทพมหานคร
108,ถนน,ถนนประชาชื่น,ถนนประชาราษฎร์สาย 2,คลองบางเขน,28.00,5,1998-12-06,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
109,ถนน,ถนนประชาธิปก,เชิงสะพานพุทธ,อนุสาวรีย์สมเด็จพระเจ้าตากสิน,39.50-40.50,1.248,1984-08-20,"คลองสาน,ธนบุรี",สำนักการโยธา,กรุงเทพมหานคร
110,ถนน,ถนนประชาธิปไตย,อนุสาวรีย์ประชาธิปไตย (คลองบางลำภู),ถนนกรุงเกษม,19.90,0.721,1999-07-30,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
111,ถนน,ถนนประชาพัฒนา,ถนนหลวงแพ่ง,คลองประเวศบุรีรมย์ (ถนนประชาพัฒนา),7.00,0.17,1985-07-18,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
111,ถนน,ถนนประชาพัฒนา,ถนนหลวงเพ่ง 1 (ซอยหลวงเพ่ง 1),คลองทับยาว (สุดระยะ),30.00,3.392,1985-08-16,ลาดกระบัง,สำนักการโยธา,กรุงเทพมหานคร
112,ถนน,ถนนประชาร่วมใจ,ถนนนิมิตใหม่,สุดเขตคลองสามวา,30.00,7,1986-10-08,"มีนบุรี,คลองสามวา",สำนักการโยธา,กรุงเทพมหานคร
113,ถนน,ถนนประชาราษฎร์บำเพ็ญ,ถนนรัชดาภิเษก,คลองห้วยขวาง,18.00,0.152,2004-07-12,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
113,ถนน,ถนนประชาราษฎร์บำเพ็ญ,ถนนรัชดาภิเษก,ทางเข้าหมู่บ้านภาณุช,9.60-16.00,1.48,2000-12-07,ห้วยขวาง,สำนักการโยธา,กรุงเทพมหานคร
114,ถนน,ถนนประชาราษฎร์สาย 1,ถนนสามเสน,สะพานพิบูลย์สงคราม,28.00,0.27,1999-07-02,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
114,ถนน,ถนนประชาราษฎร์สาย 1,สะพานพิบูลย์สงคราม,ถนนพิบูลย์สงคราม,25.00,3,1998-12-06,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
115,ถนน,ถนนประชาราษฎร์สาย 2,แม่น้ำเจ้าพระยา,สะพานโรงปูน,25.00,1.774,1983-10-11,บางซื่อ,สำนักการโยธา,กรุงเทพมหานคร
116,ถนน,ถนนประชาสงเคราะห์,ถนนดินแดง,ถนนประชาสุขและถนนประชาราษฎร์บำเพ็ญ,19.00-25.00,3.688,2003-12-31,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
117,ถนน,ถนนประชาสำราญ,ถนนสกุลดี,สุดเขตกรุงเทพมหานคร,30.00,8.8,1984-10-05,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
118,ถนน,ถนนประชาสุข,ถนนสุทธิสารวินิจฉัย,ถนนประชาสงเคราะห์,11.50-16.50,1.24,2004-07-12,ดินแดง,สำนักการโยธา,กรุงเทพมหานคร
119,ถนน,ถนนประชาอุทิศ,ถนนสุขสวัสดิ์,บ้านเลขที่ 197,20.00-30.00,1.375,2001-03-04,ราษฎร์บูรณะ,สำนักการโยธา,กรุงเทพมหานคร
119,ถนน,ถนนประชาอุทิศ,บ้านเลขที่ 197,คลองปากลัดยานยนต์,29.00,0.39,2001-08-06,ราษฎร์บูรณะ,สำนักการโยธา,กรุงเทพมหานคร
119,ถนน,ถนนประชาอุทิศ,คลองปากลัดยานยนต์,คลองข้าง ร.ร.ขจรโรจน์,22.00,0.51,2001-08-06,ราษฎร์บูรณะ,สำนักการโยธา,กรุงเทพมหานคร
119,ถนน,ถนนประชาอุทิศ,สุดเขตพื้นที่ (คลองข้าง ร.ร.ขจรโรจน์),สุดเขตพื้นที่ (คลองบางจาก),20.00,6.7,2004-12-03,ทุ่งครุ,สำนักการโยธา,กรุงเทพมหานคร
120,ถนน,ถนนประชาอุทิศ,ถนนประชาราษฎร์บำเพ็ญ,คลองลาดพร้าว,9.00-21.00,1.3,2000-12-07,ห้วยขวาง,สำนักการโยธา,กรุงเทพมหานคร
120,ถนน,ถนนประชาอุทิศ,คลองลาดพร้าว,ถนนศรีวรา,19.00-21.00,1.1,2000-09-14,วังทองหลาง,สำนักการโยธา,กรุงเทพมหานคร
121,ถนน,ถนนประดิพัทธ์,สะพานแดง,ถนนเทอดดำริ,21.00,0.44,1984-05-22,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
121,ถนน,ถนนประดิพัทธ์,ถนนเทอดดำริ,ถนนพระรามที่ 6,21.00,0.294,1984-05-22,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
121,ถนน,ถนนประดิพัทธ์,ถนนพระรามที่ 6,ถนนพหลโยธิน,22.00,1.074,1984-05-22,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
122,ถนน,ถนนประดู่ 1,ถนนสาธุประดิษฐ์,ถนนรัชดาภิเษก,14.70,1.15,1999-09-13,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
123,ถนน,ถนนประมวญ,ถนนสีลม,ถนนสาทรเหนือ,11.20-12.05,0.47,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
124,ถนน,ถนนปั้น,ถนนสีลม,สุดระยะบ้านเลขที่ 111 (ประภาดาสีลม),11.00-14.10,0.19,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
124,ถนน,ถนนปั้น,บ้านเลขที่ 111 (ประภาดาสีลม),ถนนสาทรเหนือ,12.30-1480.00,0.28,2010-07-30,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
125,ถนน,ถนนผดุงพันธ์,ถนนสกุลดี,สุดเขตกรุงเทพมหานคร,15.00,3.778,1993-06-30,หนองจอก,สำนักการโยธา,กรุงเทพมหานคร
126,ถนน,ถนนพญาไท,ถนนพระรามที่ 4,ถนนพระรามที่ 1,33.50,1.463,1983-10-11,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
126,ถนน,ถนนพญาไท,ถนนพระรามที่ 1,ถนนเพชรบุรี,40.00,0.815,1983-10-11,"ราชเทวี,ปทุมวัน",สำนักการโยธา,กรุงเทพมหานคร
126,ถนน,ถนนพญาไท,ถนนเพชรบุรี,ทางรถไฟ,32.00,0.457,1983-10-11,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
126,ถนน,ถนนพญาไท,ทางรถไฟ,อนุสาวรีย์ชัยสมรภูมิ,36.00,0.9,1983-10-11,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
126,ถนน,ถนนพญาไท,ถนนพระรามที่ 4,ถนนพระรามที่ 1,33.45-34.00,1.46,2010-02-03,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
126,ถนน,ถนนพญาไท,ถนนพระรามที่ 1,คลองแสนแสบ (สุดพื้นที่เขต),34.00-34.80,0.3,2010-02-03,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
127,ถนน,ถนนพญาไม้,ถนนสมเด็จเจ้าพระยา,สุดเขตคลองสาน (สะพานสมเด็จพระพุทธยอดฟ้า),19.85-28.90,0.51,2004-02-05,คลองสาน,สำนักการโยธา,กรุงเทพมหานคร
128,ถนน,ถนนพรมแดน (ซอยเอกชัย 131),ทางรถไฟสาย วงเวียนใหญ่-มหาชัย,ถนนเอกชัย,30.00,1.105,1985-05-10,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
128,ถนน,ถนนพรมแดน (ซอยเอกชัย 131),ถนนเอกชัย,คลองระหาญ,13.00-33.90,2.1,2024-03-05,บางบอน,สำนักการโยธา,กรุงเทพมหานคร
129,ถนน,ถนนพระจันทร์,ถนนหน้าพระธาตุ,แม่น้ำเจ้าพระยา,16.50,0.343,1983-12-22,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
130,ถนน,ถนนพระพิทักษ์,ถนนอัษฎางค์,ถนนบ้านหม้อ,13.50,0.09,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
131,ถนน,ถนนพระพิพิธ,ถนนสนามไชย,สะพานอุบลรัตน์,20.00,0.2,1983-10-11,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
132,ถนน,ถนนพระยาสุเรนทร์,ถนนรามอินทรา,วัดพระยาพิเรนทร์,30.00,7.285,1985-09-12,"มีนบุรี,คลองสามวา",สำนักการโยธา,กรุงเทพมหานคร
133,ถนน,ถนนพระรามที่ 1,สะพานกษัตริย์ศึก,ถนนราชดำริ,24.50-29.50,2.826,1984-01-25,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
134,ถนน,พระรามที่ 2 ซอย 50 (วัดกำแพง),ถนนพระรามที่ 2 (ถนนธนบุรี-ปากท่อ),วัดกำแพง,16.00,1.5,1985-07-04,บางขุนเทียน,สำนักการโยธา,กรุงเทพมหานคร
135,ถนน,พระรามที่ 2 ซอย 82 (ซอยรางโพธิ์),ถนนพระรามที่ 2 (ถนนธนบุรี-ปากท่อ),เขตทางรถไฟ,16.00,0.4,1985-05-10,บางขุนเทียน,สำนักการโยธา,กรุงเทพมหานคร
136,ถนน,พระรามที่ 2 ซอย 100 (ถนนเข้าโรงเรียนพรมแดน),ถนนพระรามที่ 2 (ถนนธนบุรี-ปากท่อ),ทางรถไฟสาย วงเวียนใหญ่-มหาชัย,30.00,1.1,1985-05-10,บางขุนเทียน,สำนักการโยธา,กรุงเทพมหานคร
137,ถนน,ถนนพระรามที่ 3,สี่แยกถนนตก,สะพานพระราม 9,50.00,2.75,2002-03-07,บางคอแหลม,สำนักการโยธา,กรุงเทพมหานคร
137,ถนน,ถนนพระรามที่ 3,ถนนรัชดาภิเษก,ถนนนางลิ้นจี่,50.00-57.10,6,2010-08-19,ยานนาวา,สำนักการโยธา,กรุงเทพมหานคร
137,ถนน,ถนนพระรามที่ 3,ถนนสุนทรโกษา,สุดเขตพื้นที่,50.00-59.00,0.6,2004-06-28,คลองเตย,สำนักการโยธา,กรุงเทพมหานคร
138,ถนน,ถนนพระรามที่ 4,ถนนเจริญกรุง,สะพานเจริญสวัสดิ์,17.00-17.10,0.4,2011-05-19,สัมพันธวงศ์,สำนักการโยธา,กรุงเทพมหานคร
138,ถนน,ถนนพระรามที่ 4,ถนนเจริญกรุง,สะพานเจริญสวัสดิ์,16.00,0.457,1984-05-22,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
138,ถนน,ถนนพระรามที่ 4,สะพานเจริญสวัสดิ์ (ถนนมหาพฤฒาราม),ถนนสาทรเหนือ,16.00-53.50,3.775,1984-05-22,บางรัก,สำนักการโยธา,กรุงเทพมหานคร
138,ถนน,ถนนพระรามที่ 4,สะพานเจริญสวัสดิ์,ทางรถไฟ,40.00-53.50,4.297,1984-05-22,ปทุมวัน,สำนักการโยธา,กรุงเทพมหานคร
138,ถนน,ถนนพระรามที่ 4,ทางรถไฟ,ถนนสุขุมวิท,29.00-43.50,4.656,1984-05-22,คลองเตย,สำนักการโยธา,กรุงเทพมหานคร
139,ถนน,ถนนพระรามที่ 5,ถนนลูกหลวง,ถนนประดิพัทธ์,24.50,4.03,1999-07-02,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
140,ถนน,ถนนพระรามที่ 6,ถนนเตชะวณิช,ถนนเทอดดำริห์,14.70-15.20,0.421,2001-06-13,ดุสิต,สำนักการโยธา,กรุงเทพมหานคร
140,ถนน,ถนนพระรามที่ 6,สะพานทางรถไฟ,ถนนประดิพัทธ์,34.50-37.00,0.641,1994-10-18,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
140,ถนน,ถนนพระรามที่ 6,ถนนประดิพัทธ์,ถนนราชวิถี,27.80-36.50,2.599,1994-10-18,"พญาไท,ราชเทวี",สำนักการโยธา,กรุงเทพมหานคร
140,ถนน,ถนนพระรามที่ 6,ถนนราชวิถี,ถนนศรีอยุธยา,36.70-47.50,0.834,1994-10-18,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
140,ถนน,ถนนพระรามที่ 6,ถนนศรีอยุธยา,ถนนเพชรบุรี,38.70,0.621,1994-10-18,ราชเทวี,สำนักการโยธา,กรุงเทพมหานคร
140,ถนน,ถนนพระรามที่ 6,ถนนเพชรบุรี,ถนนพระรามที่ 1,20.00,0.92,1994-10-18,"ราชเทวี,ปทุมวัน",สำนักการโยธา,กรุงเทพมหานคร
141,ถนน,ถนนพระสุเมรุ,ถนนราชดำเนินกลาง (ถนนพระอาทิตย์),ถนนพระอาทิตย์ (ถนนราชดำเนินกลาง),18.50,1.36,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
142,ถนน,ถนนพระอาทิตย์,ถนนพระสุเมรุ,ถนนราชินี,18.50,0.555,1984-01-25,พระนคร,สำนักการโยธา,กรุงเทพมหานคร
143,ถนน,ถนนพรานนก,ถนนจรัญสนิทวงศ์,ท่าน้ำศิริราช,16.60-29.60,1.89,2010-06-14,บางกอกน้อย,สำนักการโยธา,กรุงเทพมหานคร
144,ถนน,ถนนพรานนก-พุทธมณฑล สาย 4,คลองลัดวัดใหม่,คลองบางขุนศรี,60.00-60.20,3.027,2024-03-05,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
144,ถนน,ถนนพรานนก-พุทธมณฑล สาย 4,ถนนกาญจนาภิเษก,คลองลัดวัดใหม่,53.10-72.90,2.84,2024-03-05,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
145,ถนน,ถนนพลับพลาไชย,ถนนเจริญกรุง,ถนนสันติภาพ,20.00,0.065,1985-04-25,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
145,ถนน,ถนนพลับพลาไชย,ถนนสันติภาพ,ถนนบำรุงเมือง,21.40,3.937,1985-04-25,ป้อมปราบศัตรูพ่าย,สำนักการโยธา,กรุงเทพมหานคร
146,ถนน,ถนนพ่วงศิริ,สี่แยกหน้าเขตบางกะปิ,ถนนรามคำแหง,17.70,0.18,2001-03-04,บางกะปิ,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,อนุสาวรีย์ชัยสมรภูมิ,"พหลโยธิน 7 (ซ.อารีย์,สะพานคลองสามเสน)",32.00,1.74,1985-01-31,"พญาไท,ราชเทวี",สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,"พหลโยธิน 7 (ซ.อารีย์,สะพานคลองสามเสน)",พหลโยธิน 13,32.00,0.47,1985-01-31,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,พหลโยธิน 13,ถนนประดิพัทธ์,32.00,0.162,1985-01-31,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนประดิพัทธ์,ถนนกำแพงเพชร (คลองบางซื่อ),32.00,0.99,1985-01-31,พญาไท,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนกำแพงเพชร (คลองบางซื่อ),ถนนวิภาวดีรังสิต,32.00,1.43,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนวิภาวดีรังสิต,โรงเรียนหอวัง,32.00,1.05,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,โรงเรียนหอวัง,พหลโยธิน 32 (ซอยเสนานิคม 1),32.00,2.098,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,พหลโยธิน 32 (ซอยเสนานิคม 1),ถนนวามวงศ์วาน,32.00,0.705,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,ถนนวามวงศ์วาน,พหลโยธิน 42 (ซอยสุรางค์),32.00,0.0911,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,พหลโยธิน 42 (ซอยสุรางค์),เชิงสะพานบางบัว,32.00,1.613,1985-01-31,จตุจักร,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,คลองบางบัว,หน้าฌาปณสถานทองทัพอากาศ,33.80-34.90,1.651,2018-02-09,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,สะพานลอยหน้าห้างเทสโก้โลตัสหลักสี่,คลองถนน,31.64-33.52,2.457,2018-02-09,บางเขน,สำนักการโยธา,กรุงเทพมหานคร
147,ถนน,ถนนพหลโยธิน,คลองถนน,แยกโรงเรียนนายเรืออากาศ,29.35-63.95,2.95,2018-04-03,ดอนเมือง,สำนักการโยธา,กรุงเทพมหานคร
148,ถนน,ถนนพัฒนา,ถนนพุทธมณฑลสาย 1,สุดเขตทาง (วัดศิริวัฒนาราม),16.00,1.25,2005-03-04,ตลิ่งชัน,สำนักการโยธา,กรุงเทพมหานคร
