district,year-month,count
วัฒนา,2023-01,55
วัฒนา,2023-02,49
วัฒนา,2023-03,61
วัฒนา,2023-04,64
วัฒนา,2023-05,67
วัฒนา,2023-06,62
วัฒนา,2023-07,76
วัฒนา,2023-08,87
วัฒนา,2023-09,91
วัฒนา,2023-10,67
