district,year-month,count
คลองสามวา,2023-01,103
คลองสามวา,2023-02,104
คลองสามวา,2023-03,134
คลองสามวา,2023-04,142
คลองสามวา,2023-05,164
คลองสามวา,2023-06,115
คลองสามวา,2023-07,164
คลองสามวา,2023-08,146
คลองสามวา,2023-09,120
คลองสามวา,2023-10,115
