district,year-month,count
มีนบุรี,2023-01,66
มีนบุรี,2023-02,76
มีนบุรี,2023-03,103
มีนบุรี,2023-04,96
มีนบุรี,2023-05,133
มีนบุรี,2023-06,132
มีนบุรี,2023-07,106
มีนบุรี,2023-08,113
มีนบุรี,2023-09,91
มีนบุรี,2023-10,65
