district,year-month,count
หนองจอก,2023-01,133
หนองจอก,2023-02,98
หนองจอก,2023-03,174
หนองจอก,2023-04,206
หนองจอก,2023-05,195
หนองจอก,2023-06,180
หนองจอก,2023-07,172
หนองจอก,2023-08,122
หนองจอก,2023-09,112
หนองจอก,2023-10,116
