district,year-month,count
ประเวศ,2023-01,124
ประเวศ,2023-02,119
ประเวศ,2023-03,143
ประเวศ,2023-04,160
ประเวศ,2023-05,166
ประเวศ,2023-06,164
ประเวศ,2023-07,198
ประเวศ,2023-08,204
ประเวศ,2023-09,152
ประเวศ,2023-10,162
