district,year-month,count
สวนหลวง,2023-01,64
สวนหลวง,2023-02,58
สวนหลวง,2023-03,93
สวนหลวง,2023-04,100
สวนหลวง,2023-05,93
สวนหลวง,2023-06,104
สวนหลวง,2023-07,123
สวนหลวง,2023-08,121
สวนหลวง,2023-09,104
สวนหลวง,2023-10,106
