district,year-month,count
สะพานสูง,2023-01,58
สะพานสูง,2023-02,57
สะพานสูง,2023-03,77
สะพานสูง,2023-04,106
สะพานสูง,2023-05,80
สะพานสูง,2023-06,83
สะพานสูง,2023-07,91
สะพานสูง,2023-08,99
สะพานสูง,2023-09,79
สะพานสูง,2023-10,71
