district,year-month,count
ตลิ่งชัน,2023-01,71
ตลิ่งชัน,2023-02,64
ตลิ่งชัน,2023-03,83
ตลิ่งชัน,2023-04,136
ตลิ่งชัน,2023-05,126
ตลิ่งชัน,2023-06,146
ตลิ่งชัน,2023-07,151
ตลิ่งชัน,2023-08,129
ตลิ่งชัน,2023-09,130
ตลิ่งชัน,2023-10,162
